id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
46194205,Home in Austin · 3 bedrooms · 3 beds · 2 baths,364333630,Catherine,,78704,30.26052,-97.77262,Entire home/apt,500,2,0,,,1,0,0,
46219932,Home in Austin · ★4.98 · 3 bedrooms · 4 beds · 2 baths,154488820,Nichole & Chris,,78745,30.19259,-97.78565,Entire home/apt,183,2,124,2023-12-08,3.36,1,145,31,
46221977,Home in Austin · ★4.68 · 2 bedrooms · 2 beds · 1 bath,55352228,"Magdiel, CEO Of The Third Castle",,78704,30.23889,-97.76123,Entire home/apt,225,3,28,2022-01-17,0.74,4,0,0,
45419907,Home in Austin · 3 bedrooms · 5 beds · 3 baths,181159894,David,,78702,30.257097010446245,-97.73578995443076,Entire home/apt,882,28,0,,,7,9,0,
46236559,Home in Austin · ★5.0 · 1 bedroom · 1 bed · 1 bath,54418618,Elliot,,78722,30.30027,-97.71287,Entire home/apt,,3,10,2022-06-12,0.29,2,0,0,
45421911,Home in Austin · ★4.50 · 5 bedrooms · 6 beds · 4 baths,55204086,Greg,,78704,30.25141,-97.7728,Entire home/apt,2052,2,6,2022-09-11,0.32,1,76,0,
46239406,Home in Austin · ★4.86 · 6 bedrooms · 14 beds · 4 baths,302142399,Brian,,78703,30.27682,-97.76096,Entire home/apt,462,3,73,2023-10-29,1.98,6,303,21,
45608559,Guest suite in Austin · ★4.82 · 1 bedroom · 1 bed · 1 bath,369429819,Ashley,,78745,30.22268,-97.77879,Entire home/apt,,1,17,2021-04-24,0.44,1,0,0,
45610693,Home in Austin · ★4.98 · 1 bedroom · 1 bed · 1 shared bath,275372778,Jay,,78702,30.25435,-97.73073,Private room,76,1,218,2023-12-11,5.77,2,77,55,
45422090,Guesthouse in Austin · ★4.98 · 1 bedroom · 1 bed · 1 bath,984468,Jonnie,,78702,30.26888,-97.72175,Entire home/apt,97,1,296,2023-12-03,7.53,1,30,66,
46255897,Guesthouse in Austin · ★4.98 · 2 bedrooms · 3 beds · 1 bath,3370586,Graham & Amanda,,78702,30.28181,-97.70698,Entire home/apt,126,2,162,2023-12-09,4.38,2,138,32,
45422870,Tiny home in Austin · 1 bedroom · 2 beds · 1 bath,214370313,Amelia,,78704,30.235710121209944,-97.74984803369908,Entire home/apt,110,2,1,2023-10-30,0.63,1,360,1,
45631968,Home in Austin · 1 bedroom · 1 bed · 1.5 baths,369664136,Joslyn,,78702,30.2613,-97.70811,Private room,,2,0,,,2,0,0,
